name,url,price,imgs
Structured Volume Midi Dress,/en/products/structured-volume-midi-dress-brown-1014-001550-0017,42.47,"/globalassets/structured_voulume_maxi_dress_1014-001550-001747241.jpg?ref=E8DF70AF15, /globalassets/structured_voulume_maxi_dress_1014-001550-001747283.jpg?ref=38CBDC164D, /globalassets/structured_voulume_maxi_dress_1014-001550-001747289.jpg?ref=1E4C1C3616, /globalassets/structured_voulume_maxi_dress_1014-001550-001747264.jpg?ref=B1AE7CB2B9, /globalassets/structured_voulume_maxi_dress_1014-001550-001747280.jpg?ref=4C2D0FFF58"
Linen Blend Embroidery Detail Maxi Dress,/en/products/linen-blend-embroidery-detail-maxi-dress-beige-1812-000559-0005,42.47,"/globalassets/linen_blend_embroidery_detail_maxi_dress__1812-000559-0005_1_campaign.jpg?ref=DFB49BA131, /globalassets/linen_blend_embroidery_detail_maxi_dress_1812-000559-00053371_01c.jpg?ref=701B50AB82, /globalassets/linen_blend_embroidery_detail_maxi_dress_1812-000559-00053393.jpg?ref=C4A7CC27E6, /globalassets/linen_blend_embroidery_detail_maxi_dress_1812-000559-00053378.jpg?ref=67E64ADF4E, /globalassets/linen_blend_embroidery_detail_maxi_dress_1812-000559-00053391.jpg?ref=3BE1483CFC, /globalassets/linen_blend_embroidery_detail_maxi_dress_1812-000559-00053403.jpg?ref=84C611E872"
Elastic Linen Shorts,/en/products/elastic-linen-shorts-blue-1018-007428-0003,41.97,"/globalassets/nakd_elastic_linen_shorts_1018-007428-0003_1_edit.jpg?ref=9BB607E86D, /globalassets/nakd_elastic_linen_shorts_1018-007428-0003_26003.jpg?ref=3E9757F8EE, /globalassets/nakd_elastic_linen_shorts_1018-007428-0003_26006.jpg?ref=AF92F0EAEC, /globalassets/nakd_elastic_linen_shorts_1018-007428-0003_25994.jpg?ref=D9ED3CC1CA, /globalassets/nakd_elastic_linen_shorts_1018-007428-0003_25983_01c.jpg?ref=6DE38C3A91, /globalassets/nakd_elastic_linen_shorts_1018-007428-0003_edit.jpg?ref=7E7E2A3752"
Tube Top,/en/products/tube-top-black-1044-000266-0002,17.97,"/globalassets/nakd_1044-000266-0002_creative.jpg?ref=515DE995A2, /globalassets/tube_top-1044-000266-0002_r_1.jpg?ref=A2F6D682EF, /globalassets/tube_top-1044-000266-0002_r_2.jpg?ref=54087D1B67, /globalassets/tube_top-1044-000266-0002_r_1_01c.jpg?ref=46DD4EF463, /globalassets/tube_top-1044-000266-0002_r.jpg?ref=425ADEABA6, /globalassets/maryleest_1044-000266-0002_social.jpg?ref=52635F3241, /globalassets/tube_top_1044-000266-0002_11_flatlay.jpg?ref=51417CFE63"
Linen Wide Leg Pants,/en/products/linen-wide-leg-pants-white,65.97,"/globalassets/_heroli_1594-000400-0001_social.jpg?ref=7450C2D90E, /globalassets/linen_wide_leg_pants_1594-000400-0001_01c.jpg?ref=E64B4661EF, /globalassets/linen_wide_leg_pants_1594-000400-0001_18125.jpg?ref=30F65DAB52, /globalassets/linen_wide_leg_pants_1594-000400-0001_115.jpg?ref=6232B756B9, /globalassets/linen_wide_leg_pants_1594-000400-0001_18137.jpg?ref=818CCF8FE6, /globalassets/melissa_poli_1594-000400-0001_social-1.jpg?ref=960D765B7E"
Fold Up Denim Shorts,/en/products/fold-up-denim-shorts-mid-blue-1100-007231-0116,32.97,"/globalassets/brit_harvey_-1100-007231-0116_social-copy.jpg?ref=D9B9C838FF, /globalassets/fold_up_denim_shorts-1100-007231-011621025-1.jpg?ref=603FDFD813, /globalassets/fold_up_denim_shorts-1100-007231-011621040.jpg?ref=B91913E06F, /globalassets/fold_up_denim_shorts-1100-007231-011621029-1.jpg?ref=154C8C5836, /globalassets/fold_up_denim_shorts-1100-007231-011621037-1.jpg?ref=3396B0A5D0"
Double Folded Singlet,/en/products/double-folded-singlet-offwhite-1044-000288-0260,23.97,"/globalassets/double_folded_singlet_1044-000288-0260_1771.jpg?ref=430193D177, /globalassets/double_folded_singlet_1044-000288-0260_1789.jpg?ref=08B171429E, /globalassets/double_folded_singlet_1044-000288-0260_1751_01c.jpg?ref=D778B49391, /globalassets/double_folded_singlet_1044-000288-0260_1766.jpg?ref=982CCF3F0E, /globalassets/double_folded_singlet-1044-000288-0260_9661-copy_flatlay.jpg?ref=846D9D1782"
Structured Flowy Maxi Dress,/en/products/structured-flowy-maxi-dress-white-1014-001551-0001,49.97,"/globalassets/structured_flowy_maxi_dress-1014-001551-00018571.jpg?ref=6D43AE7652, /globalassets/structured_flowy_maxi_dress-1014-001551-00018601-copy.jpg?ref=090B709DF6, /globalassets/structured_flowy_maxi_dress-1014-001551-00018580.jpg?ref=041C0F6946, /globalassets/structured_flowy_maxi_dress-1014-001551-00018582.jpg?ref=5A96D4102F, /globalassets/structured_flowy_maxi_dress-1014-001551-00018595.jpg?ref=4F1FE0A593"
Tube Top,/en/products/tube-top-white-1044-000266-0001,17.97,"/globalassets/josefinehj1044-000266-0001_2_social.jpg?ref=BDD755B1B6, /globalassets/nakd_tube_top_1044-000266-0001_34154-copy.jpg?ref=8F279C383D, /globalassets/nakd_tube_top_1044-000266-0001_34179-copy.jpg?ref=E18F0B7662, /globalassets/nakd_tube_top_1044-000266-0001r_01c.jpg?ref=ADB4A09607, /globalassets/nakd_tube_top_1044-000266-0001_34172-copy.jpg?ref=1F97375A7E, /globalassets/majawyh_tube-top_1044-000266-0001_2_social.jpg?ref=609198EA15, /globalassets/tube_top_1044-000266-0001_11_flatlay.jpg?ref=4ADFA207C5"
Knitted Slit Detail Tube Top,/en/products/knitted-slit-detail-tube-top-white-1100-009197-0001,23.97,"/globalassets/knitted_slit_detail_tube_top_1100-009197-000110267.jpg?ref=B7DE6080FD, /globalassets/knitted_slit_detail_tube_top_1100-009197-000110261.jpg?ref=AF31E62D65, /globalassets/knitted_slit_detail_tube_top_1100-009197-000110247_01c.jpg?ref=D8A82C3996, /globalassets/knitted_slit_detail_tube_top_1100-009197-000110262.jpg?ref=A2B17CC918, /globalassets/anastasia_sovah_1100-009197-0001_social.jpg?ref=7793AFAD41, /globalassets/knitted_slit_detail_tube_top-1100-009197-0001_7377_flatlayf.jpg?ref=4FB7523429"
